license_no,dba_name,aka_name,facility_type,risk_level,address,city,state,zip,latitude,longitude,ward
1491988,INDIAN BOUNDARY GOLF COURSE,,Restaurant,2,8600 W FOREST PRESERVE AVE ,CHICAGO,IL,60634,41.9395278,-87.84003995,38
1491998,BRAZZAZ LLC,BRAZZAZ,Restaurant,1,539 N DEARBORN ST ,CHICAGO,IL,60610,41.89197722,-87.62951676,42
1492008,81ST AND RACINE CITGO INC.,,Grocery Store,3,8106 S RACINE AVE ,CHICAGO,IL,60620,41.74659471,-87.65378117,21
1492025,SAMI SWOI,,Restaurant,1,3550 N AUSTIN AVE ,CHICAGO,IL,60634,41.94548695,-87.77663733,36
1492029,HONEST FOODS INC,HONEST FOODS CATERING,Catering,1,5408 N ELSTON AVE ,CHICAGO,IL,60630,41.97957721,-87.75902614,45
1492069,SUBWAY,,Restaurant,1,4606 A S DAMEN ,CHICAGO,IL,60609,41.81006371,-87.67512853,12
1492107,DELIS OF AMERICA,,Restaurant,1,8550 W BRYN MAWR AVE ,CHICAGO,IL,60631,41.98114396,-87.84108737,41
1492163,WORLD FRESH MARKET,,Grocery Store,2,2434-2438 W DEVON AVE ,CHICAGO,IL,60659,41.99781793,-87.69125189,50
1492165,GREEK DELIGHT INC,,Restaurant,1,700 E GRAND AVE ,CHICAGO,IL,60611,41.89224916,-87.60951805,42
1492176,BRYN MAWR DELI,,Restaurant,1,1101 W BRYN MAWR AVE ,CHICAGO,IL,60660,41.98354699,-87.65810609,48
1492214,SUBWAY 24454,,Restaurant,2,242 S STATE ST ,CHICAGO,IL,60604,41.87841078,-87.62783085,42
1492229,SUBWAY #3333,,Restaurant,1,62 E JACKSON BLVD ,CHICAGO,IL,60604,41.87837198,-87.62537328,42
1492240,COCONUTS # 447,,,3,9623 S WESTERN AVE ,CHICAGO,IL,60643,41.71839819,-87.68183837,19
1492259,SUBWAY,,,1,17 S WABASH AVE ,CHICAGO,IL,60603,41.88163119,-87.62605243,42
